X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
-62.6626393918816,81.3611612457656,,"0","0","0",0.00000000000000,105.11906841141472
-61.6718577788199,81.0934740732006,,"1","0","1",1.02630630278533,108.36454461227368
-61.2572826057465,80.9292482707837,,"2","0","2",1.47222410721612,115.19296148122780
-61.008150597883,80.792423208734,,"3","0","3",1.75645615141061,113.98998840483053
-60.6735393280024,80.6758725534309,,"4","0","4",2.11078475198174,104.72803729171548
-60.1829009219685,80.5871329906912,,"5","0","5",2.60938354406883,101.14558626010268
-59.3587341914932,80.4113619253463,,"6","0","6",3.45208531043397,100.06392478615776
-58.5105764084102,80.2908222039909,,"7","0","7",4.30876579312786,98.10608661670278
-56.7863178444254,80.0447024096522,,"8","0","8",6.05050129217477,98.94051632044456
-53.8567156645826,79.5409079560654,,"9","0","9",9.02310583762055,99.75753638268660
