X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
-214509.9497,-2270517.03,,8,0,8,108959.9548,265.7108467
-200721.8584,-2269482.923,,7,0,7,95133.13888,274.6689208
-189346.6831,-2272240.541,,6,0,6,83428.47862,296.2557456
-178660.9123,-2280858.098,,5,0,5,69700.84277,289.4422482
-173145.6758,-2280858.098,,4,0,4,64185.60625,263.4329888
-162804.6073,-2278445.182,,3,0,3,53566.76166,251.3602179
-152808.2411,-2273964.053,,2,0,2,42611.95176,254.044646
-130057.8905,-2270861.732,,1,0,1,19651.05356,266.61996
-110409.8604,-2271206.434,,0,0,0,0,271.005086
