x;y
-388107.981891048;-1248340.30954101
-396299.492839745;-1249009.00431233
-405577.632791842;-1250931.50177988
-418617.180832625;-1254943.67040781
-430988.034102087;-1258955.83903575
-438678.023972292;-1261797.79181386
-446368.013842498;-1263135.18135651
-457986.585494222;-1261463.4444282
-467181.138599902;-1258287.14426442
-475205.47585577;-1255612.36517913
-482811.87887956;-1252770.41240101
-488495.7844358;-1251600.1965512
