X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
477515.391509149,-2326592.3569202,,"105","0","0","105",944475.70507585874293,249.35764455271536
475936.097971654,-2328657.58693077,,"106","0","0","106",947075.57874089176767,241.79564089856089
474113.836197621,-2328779.07104904,,"107","0","0","107",948901.88549609272741,280.31493997306188
471441.185595707,-2327564.22986635,,"108","0","0","108",951837.68186830065679,302.21542051268949
467675.177929373,-2324405.64279136,,"109","0","0","109",956752.91187850153074,280.44669712223902
461358.003779393,-2326592.3569202,,"110","0","0","110",963437.85076546506025,262.36029141690136
459535.742005361,-2326470.87280193,,"111","0","0","111",965264.15752066601999,289.16129891098223
457591.996113059,-2325134.54750097,,"112","0","0","112",967622.95242565823719,292.90922773084662
455769.734339027,-2324770.09514616,,"113","0","0","113",969481.30209459154867,282.67308797097189
451396.306081348,-2323676.73808175,,"114","0","0","114",973989.32875770854298,287.53687724667219
448237.719006358,-2322461.89689906,,"115","0","0","115",977373.48469522804953,298.71093142062796
443621.322512143,-2319060.34158753,,"116","0","0","116",983107.74097910558339,301.10267189501292
436089.307179475,-2315415.81803946,,"117","0","0","117",991475.16632170369849,306.60346800228945
433295.172459291,-2312378.71508274,,"118","0","0","118",995602.05173376167659,312.03157965113706
