X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
459483.456874571,-952499.304625612,,"39","0","0","39",1281590.40269738226198,70.98501181770455
476172.691150646,-951472.274824007,,"40","0","0","40",1298311.20802891813219,83.50811220752608
488497.048769902,-949418.215220798,,"41","0","0","41",1310805.56481831870042,71.25752903072106
501334.56446754,-942585.884743441,,"42","0","0","42",1325348.00440179044381,91.90241342307040
518031.678574747,-952949.610741017,,"43","0","0","43",1344999.98740763310343,134.71380320137692
537031.842903637,-982889.263622905,,"44","0","0","44",1380459.66957220947370,156.22304588788396
544516.756124109,-1010525.86628311,,"45","0","0","45",1409091.91944042639807,179.42185607774334
538307.994147727,-1035431.96110519,,"46","0","0","46",1434760.23229043022729,188.44817850254049
537280.964346122,-1055715.79968688,,"47","0","0","47",1455070.05498344032094,174.13885140532517
540362.053750936,-1067526.64240533,,"48","0","0","48",1467276.16483222087845,167.32495100730713
545380.39995724,-1094011.43681914,,"49","0","0","49",1494232.20559840509668,171.14940088012838
548578.292163773,-1120161.91973757,,"50","0","0","50",1520577.49495782400481,193.57124935117628
537794.479246925,-1136080.88166244,,"51","0","0","51",1539805.18254086724482,238.23703309215739
516740.36831403,-1138905.21361685,,"52","0","0","52",1561047.88571544876322,293.68378652020721
509551.159702797,-1128634.91560081,,"53","0","0","53",1573584.38210775144398,315.27282879670793
495172.742480332,-1118364.61758476,,"54","0","0","54",1591254.07093245023862,282.37155430835804
485501.094193465,-1120208.6330908,,"55","0","0","55",1601099.94183203857392,238.54020723791973
479455.587361545,-1127981.42758898,,"56","0","0","56",1610946.99657778651454,213.58317291104129
472834.317974204,-1139784.55997511,,"57","0","0","57",1624480.47885043988936,212.14169118477139
464773.642198311,-1151299.81108352,,"58","0","0","58",1638536.63415884482674,223.16610597223445
454697.797478445,-1159360.48685942,,"59","0","0","59",1651440.01126652141102,217.57306763218395
446061.359147132,-1178936.41374373,,"60","0","0","60",1672836.38900740281679,207.78271180163532
438576.44592666,-1191027.42740757,,"61","0","0","61",1687056.67512749042362,203.88980522463257
429947.420009432,-1221080.56202486,,"62","0","0","62",1718324.08609490632080,189.79823236972476
429169.290803371,-1233530.62932185,,"63","0","0","63",1730798.44622923014686,190.46517950562921
425278.644773063,-1245980.69661883,,"64","0","0","64",1743842.26860737637617,206.17302241741015
419831.740330631,-1253761.98867945,,"65","0","0","65",1753340.54603739408776,202.22717120329267
418275.481918508,-1263099.53915219,,"66","0","0","66",1762806.89639411843382,181.56106523105771
419053.61112457,-1270102.70200674,,"67","0","0","67",1769853.15604223939590,191.82072381146941
407381.673033645,-1290334.06136434,,"68","0","0","68",1793209.99744373909198,217.85343183395443
376256.504791181,-1320681.10040075,,"69","0","0","69",1836680.89433348202147,216.97129007689429
342018.81972447,-1384487.6952978,,"70","0","0","70",1909092.91426859935746,210.76399333964497
324121.847985053,-1411722.21750996,,"71","0","0","71",1941681.57483582640998,211.84487841796471
310893.651482006,-1434287.96448574,,"72","0","0","72",1967838.75586319342256,204.75638460863709
297665.454978958,-1472416.29558276,,"73","0","0","73",2008196.59048011945561,202.42179849335832
287549.775300157,-1493425.78414642,,"74","0","0","74",2031514.51459593279287,208.60711025000779
272765.320384987,-1517547.78953433,,"75","0","0","75",2059806.76178616262041,209.03465894814104
256424.607057693,-1550229.21618892,,"76","0","0","76",2096345.70758682838641,202.10758769850392
250977.702615262,-1567348.05872228,,"77","0","0","77",2114310.21530863363296,189.97036713128443
250199.5734092,-1586801.28887382,,"78","0","0","78",2133779.00182423647493,181.14530502131939
250199.5734092,-1603142.00220111,,"79","0","0","79",2150119.71515153022483,172.76485294996701
