X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
318749.844487654,-2571654.92732583,,"46","0","0","46",433392.66848498390755,95.90370004279544
325019.317135052,-2572209.37048513,,"47","0","0","47",439686.60957887425320,103.00480139034934
329028.367671483,-2573744.75154163,,"48","0","0","48",443979.61332827125443,112.04761924692173
334018.356105126,-2575877.22523122,,"49","0","0","49",449406.16182659810875,133.13066100555673
335596.386635424,-2578990.63681803,,"50","0","0","50",452896.65062666503945,167.97101636017589
335169.891897506,-2587648.47999777,,"51","0","0","51",461564.99223774857819,228.59655187466549
327919.481352896,-2587094.03683847,,"52","0","0","52",468836.57117786054732,273.54962113539409
314484.897108471,-2586454.2947316,,"53","0","0","53",482286.37875209172489,261.79633389399839
310305.248676873,-2587904.37684052,,"54","0","0","54",486710.42657443525968,222.56543454608513
309665.506569995,-2590420.69579424,,"55","0","0","55",489306.79539264086634,200.15900380428548
307788.929723155,-2594259.1484355,,"56","0","0","56",493579.41278029960813,205.77847342159615
306824.961119556,-2596279.83736396,,"57","0","0","57",495818.25605626316974,224.46920017781167
301732.367092758,-2598826.13437736,,"58","0","0","58",501511.94926912750816,250.77314539164763
294820.989484961,-2600281.16124216,,"59","0","0","59",508574.82712555694161,260.76469865259725
285363.314863766,-2601372.43139076,,"60","0","0","60",518095.25147416815162,262.99332368682445
276996.91039117,-2602463.70153936,,"61","0","0","61",526532.52557996194810,245.14745151136665
272995.586512972,-2606101.26870136,,"62","0","0","62",531940.15793028729968,227.50846051827187
268266.749202374,-2610466.34929575,,"63","0","0","63",538375.67118920397479,252.71035619839785
263174.155175577,-2609738.83586335,,"64","0","0","64",543519.96800374484155,284.64568108549355
251897.696973382,-2605373.75526896,,"65","0","0","65",555611.80153639952186,295.00846051827273
234073.617879591,-2595552.32393156,,"66","0","0","66",575962.68134678853676,302.55474947858062
217704.565650598,-2583548.35229697,,"67","0","0","67",596261.47948558523785,307.35377347707538
205336.837299804,-2573726.92095957,,"68","0","0","68",612054.55448933935259,301.94029169314751
183147.677611615,-2563177.97618978,,"69","0","0","69",636623.62128936545923,295.58379126291146
162777.301504425,-2553356.54485238,,"70","0","0","70",659238.05774627416395,298.70072972643516
119126.495560446,-2526438.54785359,,"71","0","0","71",710521.30473771982361,303.78523708790686
108577.550790651,-2518799.6568134,,"72","0","0","72",723545.62399364158046,304.79989530257905
102029.929899054,-2514434.576219,,"73","0","0","73",731414.88494595885277,322.11566177630573
100699.703613784,-2510669.51948845,,"74","0","0","74",735408.02333002339583,358.28580866290503
103484.956763853,-2500975.57771961,,"75","0","0","75",745494.15946472261567,18.72782754863342
114761.414966048,-2472238.79713982,,"76","0","0","76",776364.22696831938811,24.64614882387211
131494.22391124,-2440591.96283044,,"77","0","0","77",812162.39755009557121,31.74274684445437
148954.546288832,-2416220.26284505,,"78","0","0","78",842143.10163967951667,35.65427483213300
167506.138815023,-2390393.53599486,,"79","0","0","79",873942.18032211973332,36.80826107502643
189331.541787012,-2362384.26884747,,"80","0","0","80",909450.87307506962679,39.73492157649830
214794.511921,-2333647.48826769,,"81","0","0","81",947845.73479034507181,43.72638063857812
226434.726839394,-2322371.03006549,,"82","0","0","82",964052.31101520685479,49.10756999125472
234437.37459579,-2316187.16589009,,"83","0","0","83",974165.79445330635644,44.81947763574866
250806.426824783,-2294725.51963431,,"84","0","0","84",1001157.42520960024558,36.40153395279315
271540.559648173,-2265624.98233832,,"85","0","0","85",1036889.00136925280094,30.00380032198891
279179.450688369,-2248892.17339313,,"86","0","0","86",1055283.00994596839882,89.64436214806194
